0 0 0    0.9877474268    0.0069418449    0.0050459889   -0.0079928224
0 0 1    0.9995298617   -0.0099144269   -0.0090785529    0.0016235963
0 0 2    0.9985019468    0.0004263961    0.0006169836    0.0047401297
0 0 3    1.0062195309    0.0007260526   -0.0064707670    0.0006903242
0 0 4    0.9913674530    0.0005850154   -0.0053568999   -0.0011535876
0 0 5    1.0049736938    0.0039765367   -0.0005620011    0.0038676095
0 0 6    0.9957325227    0.0048353198   -0.0008510241    0.0018522026
0 0 7    1.0104217690    0.0020676500    0.0012572284    0.0007548018
0 0 8    0.9932157966    0.0001760292    0.0011572724    0.0091339556
0 0 9    0.9939728759   -0.0091615034    0.0034575217   -0.0056779225
0 0 10    1.0035907847    0.0035701062   -0.0024519323    0.0059851671
0 0 11    1.0061865838    0.0032237420   -0.0008271981   -0.0034090590
0 0 12    1.0041471032   -0.0058494491    0.0015070930   -0.0112479119
0 0 13    1.0030592649    0.0006235383    0.0011133460   -0.0047531028
0 0 14    0.9933715631    0.0004512065    0.0045754125    0.0034218263
0 0 15    0.9975811134   -0.0094642405   -0.0023038975    0.0009888490
0 0 16    0.9796704646    0.0026058594   -0.0067269030   -0.0049149429
0 0 17    0.9941033437   -0.0082942808   -0.0034566129   -0.0057551587
0 0 18    0.9913688171    0.0067907836    0.0045481741   -0.0076278246
0 0 19    0.9724698403   -0.0017136895   -0.0061090873    0.0016313447
0 1 0    0.9896522041   -0.0083936718    0.0026326136    0.0004967566
0 1 1    1.0046042182   -0.0029205162    0.0015059329   -0.0062265610
0 1 2    1.0066979465    0.0003645377    0.0021404432    0.0018395932
0 1 3    1.0078791003   -0.0041468758    0.0037687417   -0.0039541732
0 1 4    1.0038578848   -0.0019745917   -0.0026858142   -0.0044799606
0 1 5    1.0034598751    0.0004013359   -0.0051899080   -0.0027587512
0 1 6    0.9893364821   -0.0007278092    0.0012277667    0.0037853369
0 1 7    1.0148905261    0.0094889651    0.0026596623    0.0029475094
0 1 8    0.9972342723    0.0083788810    0.0042644406    0.0010916772
0 1 9    1.0107994557   -0.0045877279   -0.0024395007   -0.0059085804
0 1 10    1.0018003951   -0.0064183012    0.0001401361   -0.0003740626
0 1 11    1.0086137264   -0.0049875646    0.0004939049    0.0041377877
0 1 12    0.9877806032    0.0006374617   -0.0025326142   -0.0074918226
0 1 13    0.9950103043   -0.0065631757    0.0012542767    0.0042755144
0 1 14    0.9962751831   -0.0014798913    0.0048511094   -0.0007532905
0 1 15    0.9976275366   -0.0057833773   -0.0088427215    0.0056154406
0 1 16    0.9992898745    0.0076685109   -0.0005538299   -0.0066462469
0 1 17    1.0020538575   -0.0012786968   -0.0014701933   -0.0000468592
0 1 18    1.0151251631    0.0030617274   -0.0028408601    0.0033333131
0 1 19    0.9986578652   -0.0040951976    0.0067101472    0.0033963447
0 2 0    0.9994830874   -0.0049220280   -0.0054412518   -0.0039173292
0 2 1    0.9988925657    0.0042721226    0.0054423284    0.0018033180
0 2 2    0.9939475949   -0.0064979796    0.0024633421    0.0027713138
0 2 3    1.0033520953   -0.0132950023   -0.0041863491    0.0023892419
