0 0 0    0.9889936921   -0.0061244937   -0.0010053422    0.0005007583
0 0 1    0.9892139315    0.0009410876   -0.0025265796    0.0004901341
0 0 2    1.0133320718    0.0024617639    0.0001809826    0.0022434267
0 0 3    1.0022142707    0.0012249609    0.0117221319    0.0035497076
0 0 4    0.9899613244    0.0081010273   -0.0027078651   -0.0018447342
0 0 5    1.0070843484    0.0002909288    0.0065519689   -0.0138664404
0 0 6    1.0060852945    0.0072002083    0.0123353643    0.0003729237
0 0 7    1.0115112514   -0.0016282129    0.0037478797   -0.0032214740
0 0 8    0.9893928658    0.0047062549    0.0125333641    0.0015498235
0 0 9    0.9976201941    0.0009802062   -0.0115399945   -0.0025538152
0 0 10    0.9976198557    0.0009976231   -0.0069547056   -0.0019858685
0 0 11    0.9916158745    0.0008468879    0.0040924883    0.0037901231
0 0 12    0.9927601505   -0.0014908437   -0.0059516783    0.0041765029
0 0 13    1.0065924864   -0.0034465560   -0.0059366676    0.0014763693
0 0 14    1.0028908287   -0.0024579591    0.0030307332   -0.0026805328
0 0 15    0.9966824429   -0.0062323451   -0.0049817824    0.0038455011
0 0 16    1.0122349477   -0.0047723588    0.0009064358    0.0033266073
0 0 17    1.0008092098    0.0006056451   -0.0029495042    0.0012170734
0 0 18    0.9966071860   -0.0015504809   -0.0060990557    0.0043737022
0 0 19    1.0105452413   -0.0005268395    0.0034294951   -0.0029110742
0 1 0    0.9981811450   -0.0043324449   -0.0064097242   -0.0056284454
0 1 1    1.0136424875    0.0021480517    0.0005544755    0.0039673274
0 1 2    1.0040408566   -0.0008990408    0.0062188230   -0.0015678682
0 1 3    0.9881331740    0.0004875330   -0.0031051991   -0.0014342026
0 1 4    1.0080418385    0.0086490854   -0.0045133959    0.0010163021
0 1 5    1.0174148122   -0.0003019480   -0.0023511089   -0.0026001039
0 1 6    0.9944882452    0.0040139510   -0.0107626878   -0.0094159998
0 1 7    1.0045028416   -0.0131823198   -0.0092508490   -0.0111719555
0 1 8    1.0040062310   -0.0009917368    0.0034213413    0.0007658455
0 1 9    1.0087533370   -0.0014682338   -0.0006306111   -0.0036361084
0 1 10    0.9865458393    0.0011685573    0.0063787315    0.0056282194
0 1 11    0.9916140270   -0.0039937677    0.0102929503   -0.0018077513
0 1 12    0.9990164058   -0.0011640726   -0.0005235967    0.0009615648
0 1 13    0.9947039199    0.0019247355    0.0033599645    0.0073114689
